period_end,period,scope_type,scope,job,salary_wan_month,source,source_url
2025-12-31,2025Q4,region,京津冀,C#开发工程师,1.75,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,京津冀,C/C++开发工程师,1.92,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,京津冀,Java开发工程师,1.79,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,京津冀,Python开发工程师,1.80,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,京津冀,产品经理,1.71,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,京津冀,前端开发工程师,1.49,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,京津冀,国内电商运营,0.97,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,京津冀,嵌入式软件开发工程师,1.82,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,京津冀,数据开发工程师,1.63,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,京津冀,新媒体运营,0.85,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,京津冀,电气工程师,1.08,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,京津冀,短视频运营,0.73,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,京津冀,算法工程师,2.23,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,京津冀,网络工程师,0.94,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,京津冀,网络销售员,1.14,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,京津冀,自动化工程师,1.13,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,京津冀,设备维护工程师,0.78,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,京津冀,运维工程师,0.92,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,珠三角,Java开发工程师,1.92,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,珠三角,产品经理,1.85,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,珠三角,前端开发工程师,1.42,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,珠三角,国内电商运营,0.91,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,珠三角,嵌入式软件开发工程师,1.90,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,珠三角,数据分析师,1.19,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,珠三角,新媒体运营,0.81,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,珠三角,电气工程师,1.10,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,珠三角,短视频运营,0.71,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,珠三角,硬件工程师,1.75,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
2025-12-31,2025Q4,region,珠三角,网络销售员,0.91,中国劳动和社会保障科学研究院,https://www.calss.net.cn/p1/kybgList/20260224/44935.html
