period,cluster,region,indicator,value,source_url,collected_at
2026-07,jing_jin_ji,北京,fixed_asset_investment_growth,4.3,https://tjj.beijing.gov.cn/tjsj_31433/sjjd_31444/202608/t20260818_4826859.html,2026-09-14T15:32:03+00:00
2026-07,jing_jin_ji,北京,industrial_growth,4.7,https://tjj.beijing.gov.cn/tjsj_31433/sjjd_31444/202608/t20260818_4826859.html,2026-09-14T15:32:03+00:00
2026-07,jing_jin_ji,北京,retail_sales_growth,-2,https://tjj.beijing.gov.cn/tjsj_31433/sjjd_31444/202608/t20260818_4826859.html,2026-09-14T15:32:03+00:00
2026-07,jing_jin_ji,天津,fixed_asset_investment_growth,-11.9,https://www.tj.gov.cn/sq/zfsj/sjfb/202608/t20260820_7355185.html,2026-09-14T15:32:03+00:00
2026-07,jing_jin_ji,天津,industrial_growth,4,https://www.tj.gov.cn/sq/zfsj/sjfb/202608/t20260820_7355185.html,2026-09-14T15:32:03+00:00
2026-07,jing_jin_ji,天津,retail_sales_growth,1,https://www.tj.gov.cn/sq/zfsj/sjfb/202608/t20260820_7355185.html,2026-09-14T15:32:03+00:00
2026-07,yangtze_river_delta,上海,fixed_asset_investment_growth,5.5,https://tjj.sh.gov.cn/sjxx/20260817/150e0926688d4e94bb631e12fcbb030a.html,2026-09-14T15:32:03+00:00
2026-07,yangtze_river_delta,上海,industrial_output_growth,4.2,https://tjj.sh.gov.cn/sjxx/20260813/b3771ac855a246a4b2d47786c37f4b25.html,2026-09-14T15:32:03+00:00
2026-07,yangtze_river_delta,上海,retail_sales_growth,-0.2,https://tjj.sh.gov.cn/sjxx/20260814/6c46a30739e94cedab26dc2c0bf8b3b8.html,2026-09-14T15:32:03+00:00
2026-07,yangtze_river_delta,江苏,fixed_asset_investment_growth,-9.5,https://tj.jiangsu.gov.cn/art/2026/8/24/art_85275_11819992.html,2026-09-14T15:32:03+00:00
2026-07,yangtze_river_delta,江苏,industrial_growth,6.6,https://tj.jiangsu.gov.cn/art/2026/8/24/art_85275_11819992.html,2026-09-14T15:32:03+00:00
2026-07,yangtze_river_delta,江苏,retail_sales_growth,1.1,https://tj.jiangsu.gov.cn/art/2026/8/24/art_85275_11819992.html,2026-09-14T15:32:03+00:00
