cluster,cluster_name,city,date,mom_pct,yoy_pct,source_url
jing_jin_ji,京津冀（70城样本）,北京,2026-08-31,-0.1,-3.5,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
jing_jin_ji,京津冀（70城样本）,天津,2026-08-31,-0.5,-5.6,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
jing_jin_ji,京津冀（70城样本）,石家庄,2026-08-31,-0.3,-4.9,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
jing_jin_ji,京津冀（70城样本）,唐山,2026-08-31,-0.6,-7.4,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
jing_jin_ji,京津冀（70城样本）,秦皇岛,2026-08-31,-0.5,-7.1,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
yangtze_river_delta,长三角（70城样本）,上海,2026-08-31,0.3,-0.8,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
yangtze_river_delta,长三角（70城样本）,南京,2026-08-31,-0.2,-4.8,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
yangtze_river_delta,长三角（70城样本）,杭州,2026-08-31,-0.2,-3.5,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
yangtze_river_delta,长三角（70城样本）,宁波,2026-08-31,0.0,-2.7,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
yangtze_river_delta,长三角（70城样本）,合肥,2026-08-31,0.0,-3.8,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
yangtze_river_delta,长三角（70城样本）,无锡,2026-08-31,-0.1,-3.9,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
yangtze_river_delta,长三角（70城样本）,徐州,2026-08-31,-0.2,-4.0,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
yangtze_river_delta,长三角（70城样本）,扬州,2026-08-31,0.2,-7.1,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
yangtze_river_delta,长三角（70城样本）,温州,2026-08-31,-0.2,-5.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
yangtze_river_delta,长三角（70城样本）,金华,2026-08-31,-0.3,-5.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
yangtze_river_delta,长三角（70城样本）,蚌埠,2026-08-31,-0.4,-4.2,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
yangtze_river_delta,长三角（70城样本）,安庆,2026-08-31,-0.3,-4.2,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
greater_bay_area,粤港澳大湾区（70城样本）,广州,2026-08-31,0.0,-3.8,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
greater_bay_area,粤港澳大湾区（70城样本）,深圳,2026-08-31,0.1,-2.7,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
greater_bay_area,粤港澳大湾区（70城样本）,惠州,2026-08-31,-0.1,-5.2,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
chengdu_chongqing,成渝地区（70城样本）,重庆,2026-08-31,-0.4,-4.1,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
chengdu_chongqing,成渝地区（70城样本）,成都,2026-08-31,-0.4,-5.8,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
chengdu_chongqing,成渝地区（70城样本）,泸州,2026-08-31,-0.6,-9.0,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
chengdu_chongqing,成渝地区（70城样本）,南充,2026-08-31,-0.4,-5.5,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
middle_yangtze,长江中游（70城样本）,南昌,2026-08-31,-0.2,-5.8,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
middle_yangtze,长江中游（70城样本）,武汉,2026-08-31,-0.2,-6.3,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
middle_yangtze,长江中游（70城样本）,长沙,2026-08-31,-0.2,-6.0,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
middle_yangtze,长江中游（70城样本）,宜昌,2026-08-31,-0.2,-3.7,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
middle_yangtze,长江中游（70城样本）,襄阳,2026-08-31,-0.4,-6.7,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
middle_yangtze,长江中游（70城样本）,岳阳,2026-08-31,-0.5,-6.0,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
middle_yangtze,长江中游（70城样本）,常德,2026-08-31,-0.5,-6.8,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
middle_yangtze,长江中游（70城样本）,九江,2026-08-31,-0.2,-7.4,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965304.html
