cluster,cluster_name,scope,indicator,indicator_name,region,region_code,date,value,previous_date,previous_value,delta_pp,source,source_url
jing_jin_ji,京津冀,exact,industrial_growth,规上工业增加值累计增长,北京市,110000000000,2026-07-31,4.7,2026-06-30,3.4,1.3000000000000003,国家统计局-分省月度数据,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsMonthData
jing_jin_ji,京津冀,exact,industrial_growth,规上工业增加值累计增长,天津市,120000000000,2026-07-31,4.0,2026-06-30,4.4,-0.40000000000000036,国家统计局-分省月度数据,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsMonthData
jing_jin_ji,京津冀,exact,industrial_growth,规上工业增加值累计增长,河北省,130000000000,2026-07-31,5.5,2026-06-30,6.1,-0.5999999999999996,国家统计局-分省月度数据,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsMonthData
jing_jin_ji,京津冀,exact,fixed_asset_investment_growth,固定资产投资累计增长,北京市,110000000000,2026-07-31,4.3,2026-06-30,3.0,1.2999999999999998,国家统计局-分省月度数据,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsMonthData
jing_jin_ji,京津冀,exact,fixed_asset_investment_growth,固定资产投资累计增长,天津市,120000000000,2026-07-31,-11.9,2026-06-30,-10.9,-1.0,国家统计局-分省月度数据,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsMonthData
jing_jin_ji,京津冀,exact,fixed_asset_investment_growth,固定资产投资累计增长,河北省,130000000000,2026-07-31,0.3,2026-06-30,2.5,-2.2,国家统计局-分省月度数据,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsMonthData
yangtze_river_delta,长三角,exact,industrial_growth,规上工业增加值累计增长,上海市,310000000000,2026-07-31,5.5,2026-06-30,5.7,-0.20000000000000018,国家统计局-分省月度数据,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsMonthData
yangtze_river_delta,长三角,exact,industrial_growth,规上工业增加值累计增长,安徽省,340000000000,2026-07-31,12.7,2026-06-30,12.4,0.29999999999999893,国家统计局-分省月度数据,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsMonthData
yangtze_river_delta,长三角,exact,industrial_growth,规上工业增加值累计增长,江苏省,320000000000,2026-07-31,6.6,2026-06-30,6.7,-0.10000000000000053,国家统计局-分省月度数据,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsMonthData
yangtze_river_delta,长三角,exact,industrial_growth,规上工业增加值累计增长,浙江省,330000000000,2026-07-31,7.9,2026-06-30,8.0,-0.09999999999999964,国家统计局-分省月度数据,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsMonthData
yangtze_river_delta,长三角,exact,fixed_asset_investment_growth,固定资产投资累计增长,上海市,310000000000,2026-07-31,5.5,2026-06-30,6.8,-1.2999999999999998,国家统计局-分省月度数据,https://data.stats.gov.cn/dg/website/page.html#/pc/national/fsMonthData
