cluster,cluster_name,scope,indicator,indicator_name,latest_date,previous_date,median_growth,min_growth,max_growth,positive_count,negative_count,zero_count,improving_count,deteriorating_count,unchanged_count,comparable_count,observed_regions,expected_regions,coverage,status
jing_jin_ji,京津冀,exact,industrial_growth,规上工业增加值累计增长,2026-07-31,2026-06-30,4.7,4.0,5.5,3,0,0,1,2,0,3,3,3,100.0,yellow
jing_jin_ji,京津冀,exact,fixed_asset_investment_growth,固定资产投资累计增长,2026-07-31,2026-06-30,0.3,-11.9,4.3,2,1,0,1,2,0,3,3,3,100.0,yellow
yangtze_river_delta,长三角,exact,industrial_growth,规上工业增加值累计增长,2026-07-31,2026-06-30,7.25,5.5,12.7,4,0,0,1,3,0,4,4,4,100.0,yellow
yangtze_river_delta,长三角,exact,fixed_asset_investment_growth,固定资产投资累计增长,2026-07-31,2026-06-30,-9.0,-13.1,5.5,1,3,0,0,4,0,4,4,4,100.0,red
greater_bay_area_proxy,粤港澳大湾区（广东省代理）,proxy,industrial_growth,规上工业增加值累计增长,2026-07-31,2026-06-30,5.7,5.7,5.7,1,0,0,0,1,0,1,1,1,100.0,yellow
greater_bay_area_proxy,粤港澳大湾区（广东省代理）,proxy,fixed_asset_investment_growth,固定资产投资累计增长,2026-07-31,2026-06-30,-11.3,-11.3,-11.3,0,1,0,1,0,0,1,1,1,100.0,red
chengdu_chongqing_proxy,成渝地区（川渝代理）,proxy,industrial_growth,规上工业增加值累计增长,2026-07-31,2026-06-30,5.05,3.5,6.6,2,0,0,1,1,0,2,2,2,100.0,green
chengdu_chongqing_proxy,成渝地区（川渝代理）,proxy,fixed_asset_investment_growth,固定资产投资累计增长,2026-07-31,2026-06-30,-1.9500000000000002,-2.7,-1.2,0,2,0,0,2,0,2,2,2,100.0,red
middle_yangtze_proxy,长江中游（鄂湘赣代理）,proxy,industrial_growth,规上工业增加值累计增长,2026-07-31,2026-06-30,3.1,2.6,8.8,3,0,0,0,2,1,3,3,3,100.0,yellow
middle_yangtze_proxy,长江中游（鄂湘赣代理）,proxy,fixed_asset_investment_growth,固定资产投资累计增长,2026-07-31,2026-06-30,-5.8,-13.7,-0.3,0,3,0,0,3,0,3,3,3,100.0,red
